multiplicity_family,candidate,reference,n_cases,n_videos,mean_delta,cell_t_ci_low,cell_t_ci_high,positive_cells_of_6,paired_t_p,holm_p,exact_sign_flip_p,status
F1,spatial_warp_aug,strong_aug_floor,101,34,0.0250167954,-0.0008349363,0.0508685271,5,0.0553262085,0.5532620855,0.0625000000,canonical_reconciled_bounded_wording
F1,CCSDG,strong_aug_floor,101,34,-0.0007117822,-0.0384940243,0.0370704600,3,0.9632505338,1.0000000000,1.0000000000,canonical_reconciled_bounded_wording
F1,CSDG,strong_aug_floor,101,34,-0.0178143746,-0.0745323257,0.0389035765,2,0.4561190677,1.0000000000,0.4375000000,canonical_reconciled_bounded_wording
F1,DSU,strong_aug_floor,101,34,-0.0151469142,-0.0664199594,0.0361261310,2,0.4818647739,1.0000000000,0.5625000000,canonical_reconciled_bounded_wording
F1,MixStyle,strong_aug_floor,101,34,-0.0098519703,-0.0208530746,0.0011491341,1,0.0695925479,0.6263329311,0.0937500000,canonical_reconciled_bounded_wording
F1,fourier_amp_aug,strong_aug_floor,101,34,0.0015627079,-0.0657200917,0.0688455076,3,0.9547040279,1.0000000000,0.9375000000,canonical_reconciled_bounded_wording
F1,ibn_whitening,strong_aug_floor,101,34,-0.0379387129,-0.1139544112,0.0380769854,1,0.2557576820,1.0000000000,0.2500000000,canonical_reconciled_bounded_wording
F1,spectral_consistency,strong_aug_floor,101,34,-0.0067278845,-0.0566330439,0.0431772749,3,0.7430379300,1.0000000000,0.7812500000,canonical_reconciled_bounded_wording
F1,spectral_ibn_combo,strong_aug_floor,101,34,-0.0260494208,-0.0816068331,0.0295079916,2,0.2820209580,1.0000000000,0.3125000000,canonical_reconciled_bounded_wording
F1,official_SLAug,strong_aug_floor,101,34,0.0311622515,-0.0304620880,0.0927865910,4,0.2503341896,1.0000000000,0.2500000000,canonical_reconciled_bounded_wording
F1-all,spatial_warp_aug,strong_aug_floor,285,100,0.0072763029,-0.0105235027,0.0250761086,4,0.3414545576,1.0000000000,0.3437500000,canonical_reconciled_bounded_wording
F1-all,CCSDG,strong_aug_floor,285,100,0.0031176076,-0.0188239365,0.0250591517,3,0.7298692402,1.0000000000,0.6875000000,canonical_reconciled_bounded_wording
F1-all,CSDG,strong_aug_floor,285,100,-0.0090595977,-0.0442713216,0.0261521263,3,0.5376222795,1.0000000000,0.5625000000,canonical_reconciled_bounded_wording
F1-all,DSU,strong_aug_floor,285,100,-0.0167091211,-0.0560135474,0.0225953053,3,0.3243120416,1.0000000000,0.3750000000,canonical_reconciled_bounded_wording
F1-all,MixStyle,strong_aug_floor,285,100,-0.0057578509,-0.0145150533,0.0029993516,1,0.1517912066,1.0000000000,0.1562500000,canonical_reconciled_bounded_wording
F1-all,fourier_amp_aug,strong_aug_floor,285,100,0.0003380129,-0.0363975260,0.0370735517,4,0.9820446649,1.0000000000,0.9687500000,canonical_reconciled_bounded_wording
F1-all,ibn_whitening,strong_aug_floor,285,100,-0.0272204778,-0.0815655810,0.0271246254,2,0.2542729048,1.0000000000,0.2500000000,canonical_reconciled_bounded_wording
F1-all,spectral_consistency,strong_aug_floor,285,100,-0.0068599374,-0.0484682103,0.0347483355,3,0.6893181553,1.0000000000,0.6562500000,canonical_reconciled_bounded_wording
F1-all,spectral_ibn_combo,strong_aug_floor,285,100,-0.0105158053,-0.0355337297,0.0145021191,2,0.3292606520,1.0000000000,0.3125000000,canonical_reconciled_bounded_wording
F1-all,official_SLAug,strong_aug_floor,285,100,0.0068970754,-0.0327520104,0.0465461612,3,0.6734644143,1.0000000000,0.7187500000,canonical_reconciled_bounded_wording
