method,display,fidelity,stratum,mean_delta,ci_low,ci_high,positive_cells_of_6
SLAug_official,Official SLAug,official,Hard-flat IIa,0.03116225151356679,-0.03046208800246202,0.0927865910295956,4
SLAug_official,Official SLAug,official,Ip,-0.03704988074519359,-0.06386403849175652,-0.010235722998630653,1
SLAug_official,Official SLAug,official,Large,-0.020411376489634463,-0.06187933442254126,0.02105658144327233,2
SLAug,Spatial warp (ours),ours,Hard-flat IIa,0.025016795379537937,-0.0008349363161699354,0.050868527075245806,5
SLAug,Spatial warp (ours),ours,Ip,-0.030230636904761927,-0.06363619024965905,0.0031749164401351955,0
SLAug,Spatial warp (ours),ours,Large,-0.011457673684210504,-0.024216099820648436,0.0013007524522274296,1
fourier_amp_aug,Fourier amplitude†,coverage,Hard-flat IIa,0.0015627079207920687,-0.06572009173874721,0.06884550758033134,3
fourier_amp_aug,Fourier amplitude†,coverage,Ip,-0.00272395238095241,-0.049077498238522976,0.043629593476618156,3
fourier_amp_aug,Fourier amplitude†,coverage,Large,0.0031259614035088292,-0.032363872816485645,0.0386157956235033,3
CCSDG,CCSDG†,coverage,Hard-flat IIa,-0.0007117821782178421,-0.038494024318749695,0.037070459962314006,3
CCSDG,CCSDG†,coverage,Ip,0.004335601190476175,-0.05134329984976979,0.06001450223072215,3
CCSDG,CCSDG†,coverage,Large,0.0021033403508772066,-0.017169090671905154,0.02137577137365957,4
spectral_consistency,Spectral consistency†,coverage,Hard-flat IIa,-0.006727884488448854,-0.05663304387773387,0.043177274900836164,3
spectral_consistency,Spectral consistency†,coverage,Ip,-0.026006238095238093,-0.10600015172828092,0.05398767553780473,1
spectral_consistency,Spectral consistency†,coverage,Large,-0.027026382456140363,-0.08250123026306042,0.028448465350779682,1
MixStyle,MixStyle†,coverage,Hard-flat IIa,-0.009851970297029722,-0.0208530746486487,0.0011491340545892563,1
MixStyle,MixStyle†,coverage,Ip,0.008159130952380966,-0.023178224131159268,0.0394964860359212,4
MixStyle,MixStyle†,coverage,Large,-0.012168501754385885,-0.030341226651740966,0.006004223142969195,1
DSU,DSU†,coverage,Hard-flat IIa,-0.01514691419141917,-0.06641995936751746,0.03612613098467912,2
DSU,DSU†,coverage,Ip,-0.02401440476190475,-0.08804122976623752,0.040012420242428015,1
DSU,DSU†,coverage,Large,-0.024167184210526344,-0.07258319637688122,0.02424882795582854,2
CSDG,CSDG†,coverage,Hard-flat IIa,-0.017814374587458753,-0.07453232566465662,0.038903576489739106,2
CSDG,CSDG†,coverage,Ip,-0.0011022857142857039,-0.052995922469756485,0.05079135104118508,3
CSDG,CSDG†,coverage,Large,-0.008750480701754326,-0.03824350200493322,0.02074254060142457,3
spectral_ibn_combo,Spectral + IBN†,coverage,Hard-flat IIa,-0.026049420792079215,-0.08160683314323251,0.02950799155907408,2
spectral_ibn_combo,Spectral + IBN†,coverage,Ip,-0.0013496845238095134,-0.03996905563843763,0.037269686590818606,3
spectral_ibn_combo,Spectral + IBN†,coverage,Large,-0.012146210526315796,-0.033263106646599976,0.008970685593968382,2
ibn_whitening,IBN whitening†,coverage,Hard-flat IIa,-0.03793871287128716,-0.11395441118174318,0.03807698543916887,1
ibn_whitening,IBN whitening†,coverage,Ip,-0.05060270833333338,-0.1402198097455117,0.03901439307884496,1
ibn_whitening,IBN whitening†,coverage,Large,-0.053782563157894724,-0.13310143001570962,0.025536303699920167,1
